ANALYSIS_ID,ANALYSIS_NAME,STRATUM_1_NAME,STRATUM_2_NAME,STRATUM_3_NAME,STRATUM_4_NAME,STRATUM_5_NAME,ANALYSIS_TYPE
802,"Number of persons by observation occurrence start month, by observation_concept_id",observation_concept_id,calendar month,,,,OBSERVATION
117,Number of persons with at least one day of observation in each month,calendar month,,,,,OBSERVATION
820,Number of observation records  by observation start month,calendar month,,,,,OBSERVATION
704,"Number of persons with at least one drug exposure, by drug_concept_id by calendar year by gender by age decile",drug_concept_id,calendar year,gender_concept_id,age decile,,DRUG
701,"Number of drug exposure records, by drug_concept_id",drug_concept_id,,,,,DRUG
1001,"Number of condition era records, by condition_concept_id",condition_concept_id,,,,,CONDITION_ERA
420,Number of condition occurrence records by condition occurrence start month,calendar month,,,,,CONDITION
800,"Number of persons with at least one observation occurrence, by observation_concept_id",observation_concept_id,,,,,OBSERVATION
1700,Number of records by cohort_definition_id,cohort_definition_id,,,,,COHORT
405,"Number of condition occurrence records, by condition_concept_id by condition_type_concept_id",condition_concept_id,condition_type_concept_id,,,,CONDITION
501,"Number of records of death, by cause_of_death_concept_id",cause_of_death_concept_id,,,,,DEATH
600,"Number of persons with at least one procedure occurrence, by procedure_concept_id",procedure_concept_id,,,,,PROCEDURE
1314,"Number of measurement records with no value (numeric, string, or concept)",,,,,,MEASUREMENT
812,Number of observation records with invalid provider_id,,,,,,OBSERVATION
1004,"Number of persons with at least one condition era, by condition_concept_id by calendar year by gender by age decile",condition_concept_id,calendar year,gender_concept_id,age decile,,CONDITION_ERA
908,Number of drug eras without valid person,,,,,,DRUG_ERA
1304,"Number of persons with at least one measurement occurrence, by measurement_concept_id by calendar year by gender by age decile",measurement_concept_id,calendar year,gender_concept_id,age decile,,MEASUREMENT
805,"Number of observation occurrence records, by observation_concept_id by observation_type_concept_id",observation_concept_id,observation_type_concept_id,,,,OBSERVATION
901,"Number of drug era records, by drug_concept_id",drug_concept_id,,,,,DRUG_ERA
910,Number of drug eras with end date < start date,,,,,,DRUG_ERA
920,Number of drug era records  by drug era start month,calendar month,,,,,DRUG_ERA
700,"Number of persons with at least one drug exposure, by drug_concept_id",drug_concept_id,,,,,DRUG
705,"Number of drug exposure records, by drug_concept_id by drug_type_concept_id",drug_concept_id,drug_type_concept_id,,,,DRUG
1318,"Number of measurement records below/within/above normal range, by measurement_concept_id and unit_concept_id",,,,,,MEASUREMENT
513,Distribution of time from death to last visit,,,,,,DEATH
906,Distribution of age by drug_concept_id,drug_concept_id,gender_concept_id,,,,DRUG_ERA
702,"Number of persons by drug exposure start month, by drug_concept_id",drug_concept_id,calendar month,,,,DRUG
1850,"Number of persons by duration from cohort start to first occurrence of observation, by observation_concept_id",observation_concept_id,time-to-event 30d increments,,,,COHORT_SPECIFIC_ANALYSES
1831,"Number of events by duration from cohort start to all occurrences of procedure occurrence, by procedure_concept_id",procedure_concept_id,time-to-event 30d increments,,,,COHORT_SPECIFIC_ANALYSES
1008,Number of condition eras without valid person,,,,,,CONDITION_ERA
909,Number of drug eras outside valid observation period,,,,,,DRUG_ERA
813,Number of observation records with invalid visit_id,,,,,,OBSERVATION
1315,"Distribution of numeric values, by measurement_concept_id and unit_concept_id",,,,,,MEASUREMENT
710,Number of drug exposure records outside valid observation period,,,,,,DRUG
900,"Number of persons with at least one drug era, by drug_concept_id",drug_concept_id,,,,,DRUG_ERA
720,Number of drug exposure records  by drug exposure start month,calendar month,,,,,DRUG
1313,Number of measurement records with invalid visit_id,,,,,,MEASUREMENT
512,Distribution of time from death to last drug,,,,,,DEATH
1860,"Number of persons by duration from cohort start to first occurrence of condition era, by condition_concept_id",condition_concept_id,time-to-event 30d increments,,,,COHORT_SPECIFIC_ANALYSES
1813,Distribution of duration (days) from cohort end to observation end,,,,,,COHORT_SPECIFIC_ANALYSES
715,Distribution of days_supply by drug_concept_id,drug_concept_id,,,,,DRUG
514,Distribution of time from death to last procedure,,,,,,DEATH
1830,"Number of persons by duration from cohort start to first occurrence of procedure occurrence, by procedure_concept_id",procedure_concept_id,time-to-event 30d increments,,,,COHORT_SPECIFIC_ANALYSES
1802,Distribution of age at cohort start by gender,gender_concept_id,,,,,COHORT_SPECIFIC_ANALYSES
703,Number of distinct drug exposure concepts per person,,,,,,DRUG
706,Distribution of age by drug_concept_id,drug_concept_id,gender_concept_id,,,,DRUG
1100,Number of persons by location 3-digit zip,3-digit zip,,,,,LOCATION
1808,Distribution of duration (days) from cohort start to cohort end,,,,,,COHORT_SPECIFIC_ANALYSES
1312,Number of measurement records with invalid provider_id,,,,,,MEASUREMENT
1306,Distribution of age by measurement_concept_id,measurement_concept_id,gender_concept_id,,,,MEASUREMENT
1810,"Distribution of duration (days) from cohort start to cohort end, by age decile",age decile,,,,,COHORT_SPECIFIC_ANALYSES
1006,Distribution of age by condition_concept_id,condition_concept_id,gender_concept_id,,,,CONDITION_ERA
904,"Number of persons with at least one drug era, by drug_concept_id by calendar year by gender by age decile",drug_concept_id,calendar year,gender_concept_id,age decile,,DRUG_ERA
1870,"Number of persons by duration from cohort start to first occurrence of drug era, by drug_concept_id",drug_concept_id,time-to-event 30d increments,,,,COHORT_SPECIFIC_ANALYSES
1020,Number of condition era records by condition era start month,calendar month,,,,,CONDITION_ERA
712,Number of drug exposure records with invalid provider_id,,,,,,DRUG
1316,"Distribution of low range, by measurement_concept_id and unit_concept_id",,,,,,MEASUREMENT
1305,"Number of measurement occurrence records, by measurement_concept_id by measurement_type_concept_id",measurement_concept_id,measurement_type_concept_id,,,,MEASUREMENT
1809,"Distribution of duration (days) from cohort start to cohort end, by gender",gender_concept_id,,,,,COHORT_SPECIFIC_ANALYSES
1320,Number of measurement records  by measurement start month,calendar month,,,,,MEASUREMENT
1811,Distribution of duration (days) from observation start to cohort start,,,,,,COHORT_SPECIFIC_ANALYSES
1010,Number of condition eras with end date < start date,,,,,,CONDITION_ERA
1007,"Distribution of condition era length, by condition_concept_id",condition_concept_id,,,,,CONDITION_ERA
1871,"Number of events by duration from cohort start to all occurrences of drug era, by drug_concept_id",drug_concept_id,time-to-event 30d increments,,,,COHORT_SPECIFIC_ANALYSES
1302,"Number of persons by measurement occurrence start month, by measurement_concept_id",measurement_concept_id,calendar month,,,,MEASUREMENT
1309,Number of measurement records with invalid person_id,,,,,,MEASUREMENT
1851,"Number of events by duration from cohort start to all occurrences of observation, by observation_concept_id",observation_concept_id,time-to-event 30d increments,,,,COHORT_SPECIFIC_ANALYSES
1317,"Distribution of high range, by measurement_concept_id and unit_concept_id",,,,,,MEASUREMENT
713,Number of drug exposure records with invalid visit_id,,,,,,DRUG
907,"Distribution of drug era length, by drug_concept_id",drug_concept_id,,,,,DRUG_ERA
1812,Distribution of duration (days) from cohort start to observation end,,,,,,COHORT_SPECIFIC_ANALYSES
1200,Number of persons by place of service,place_of_service_concept_id,,,,,CARE_SITE
1821,"Number of events by duration from cohort start to all occurrences of condition occurrence, by condition_concept_id",condition_concept_id,time-to-event 30d increments,,,,COHORT_SPECIFIC_ANALYSES
1816,Number of persons by number of cohort periods,number of cohort periods,,,,,COHORT_SPECIFIC_ANALYSES
1820,"Number of persons by duration from cohort start to first occurrence of condition occurrence, by condition_concept_id",condition_concept_id,time-to-event 30d increments,,,,COHORT_SPECIFIC_ANALYSES
1201,Number of visits by place of service,place_of_service_concept_id,,,,,CARE_SITE
1303,Number of distinct measurement occurrence concepts per person,,,,,,MEASUREMENT
1814,Number of persons by cohort start year by gender by age decile,calendar year,gender_concept_id,age decile,,,COHORT_SPECIFIC_ANALYSES
1310,Number of measurement records outside valid measurement period,,,,,,MEASUREMENT
1307,"Number of measurement occurrence records, by measurement_concept_id and unit_concept_id",measurement_concept_id,unit_concept_id,,,,MEASUREMENT
1815,Number of persons by cohort start month,calendar month,,,,,COHORT_SPECIFIC_ANALYSES
1301,"Number of measurement occurrence records, by measurement_concept_id",measurement_concept_id,,,,,MEASUREMENT
1300,"Number of persons with at least one measurement occurrence, by measurement_concept_id",measurement_concept_id,,,,,MEASUREMENT
